"afstemningid","gd","mean_degree","modularity","gd_no_neither","mean_degree_no_neither","modularity_no_neither","dag","periode","beskrivelse","dato","afstemningsbeskrivelse"
"1",1,1,107,0,1,107,0,"2014-09-09",32,"Udvalgsindstilling",2014-09-09,"Udvalgsindstilling"
"2",2,0.830391138802354,88.8518518518518,0.0185818879305865,0.830391138802354,88.8518518518518,0.0185818879305865,"2014-09-09",32,"Endelig vedtagelse",2014-09-09,"Endelig vedtagelse"
"3",3,0.33186868369845,59.072625698324,0.657406247034017,0.496523388116308,55.6106194690265,0.496029239384597,"2012-10-04",31,"Forslag til vedtagelse",2012-10-04,"Forslag til vedtagelse"
"4",4,0.437392500859993,66.483660130719,0.508632952462629,0.78319783197832,63.4390243902439,0.0340034242885023,"2012-11-06",31,"Endelig vedtagelse",2012-11-06,"Endelig vedtagelse"
"5",5,0.830391138802354,88.8518518518518,0.0185818879305865,0.830391138802354,88.8518518518518,0.0185818879305865,"2014-09-09",32,"Endelig vedtagelse",2014-09-09,"Endelig vedtagelse"
"6",6,1,103,0,1,103,0,"2014-08-27",32,"Endelig vedtagelse",2014-08-27,"Endelig vedtagelse"
"7",7,0.465768194070081,48.9056603773585,0.474976423182442,0.875409836065574,52.5245901639344,0.00746258188500323,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"8",8,0.56136567834681,58.9433962264151,0.12064459858909,0.712014960261805,65.505376344086,0.0756877797173478,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"9",9,0.424358974358974,44.1333333333333,0.40162138732146,0.534878165312948,48.6739130434783,0.360417392678134,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"10",10,0.511076497057805,54.6851851851852,0.299201544366654,0.560251284980011,57.1456310679612,0.294442522088904,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"11",11,0.86138448707256,93.8909090909091,0.00502443178988654,0.910068770939869,96.4672897196262,0.00386770932381133,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"12",12,0.628636924704638,66.6355140186916,0.165706406173468,0.628636924704638,66.6355140186916,0.165706406173468,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"13",13,0.496385117263269,52.6168224299065,0.495568967312261,0.496385117263269,52.6168224299065,0.495568967312261,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"14",14,0.4974431317228,52.7289719626168,0.491352080241859,0.4974431317228,52.7289719626168,0.491352080241859,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"15",15,0.496385117263269,52.6168224299065,0.495568967312261,0.496385117263269,52.6168224299065,0.495568967312261,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"16",16,0.784517721742197,83.1588785046729,0.0344493152105066,0.784517721742197,83.1588785046729,0.0344493152105066,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"17",17,0.860342091341915,91.196261682243,0.0114118923280549,0.860342091341915,91.196261682243,0.0114118923280549,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"18",18,0.4974431317228,52.7289719626168,0.491352080241859,0.4974431317228,52.7289719626168,0.491352080241859,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"19",19,0.784517721742197,83.1588785046729,0.0344493152105066,0.784517721742197,83.1588785046729,0.0344493152105066,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"20",20,0.496385117263269,52.6168224299065,0.495568967312261,0.496385117263269,52.6168224299065,0.495568967312261,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"21",21,0.605128205128205,62.9333333333333,0.202635736857225,0.605128205128205,62.9333333333333,0.202635736857225,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"22",22,0.506403599861544,54.1851851851852,0.457207378727687,0.506403599861544,54.1851851851852,0.457207378727687,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"23",23,0.505201904426027,53.5514018691589,0.461500507113292,0.505201904426027,53.5514018691589,0.461500507113292,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"24",24,0.772239529248875,82.6296296296296,0.0399570173833081,0.772239529248875,82.6296296296296,0.0399570173833081,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"25",25,0.782749326145552,82.188679245283,0.0351713984321046,0.782749326145552,82.188679245283,0.0351713984321046,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"26",26,0.78625822083766,84.1296296296296,0.033748975051855,0.78625822083766,84.1296296296296,0.033748975051855,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"27",27,0.715363881401617,75.1132075471698,0.0739109867575581,0.715363881401617,75.1132075471698,0.0739109867575581,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"28",28,1,107,0,1,107,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"29",29,1,106,0,1,106,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"30",30,0.754716981132075,79.2452830188679,0.04875,0.754716981132075,79.2452830188679,0.04875,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"31",31,0.68380062305296,73.1666666666667,0.100652122901904,0.68380062305296,73.1666666666667,0.100652122901904,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"32",32,0.782749326145552,82.188679245283,0.0351713984321046,0.782749326145552,82.188679245283,0.0351713984321046,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"33",33,0.861543786777432,92.1851851851852,0.0111862221900104,0.861543786777432,92.1851851851852,0.0111862221900104,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"34",34,0.511197319696703,54.1869158878505,0.439670112602019,0.511197319696703,54.1869158878505,0.439670112602019,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"35",35,0.564555209415022,60.4074074074074,0.284806257967093,0.564555209415022,60.4074074074074,0.284806257967093,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"36",36,0.78625822083766,84.1296296296296,0.033748975051855,0.78625822083766,84.1296296296296,0.033748975051855,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"37",37,0.78625822083766,84.1296296296296,0.033748975051855,0.78625822083766,84.1296296296296,0.033748975051855,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"38",38,0.876564979721389,92.9158878504673,0.00841331138830922,0.876564979721389,92.9158878504673,0.00841331138830922,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"39",39,0.497461097461097,54.7207207207207,0.491964704003494,0.497461097461097,54.7207207207207,0.491964704003494,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"40",40,1,106,0,1,106,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"41",41,1,109,0,1,109,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"42",42,0.564555209415022,60.4074074074074,0.284806257967093,0.564555209415022,60.4074074074074,0.284806257967093,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"43",43,0.605844376486578,65.4311926605505,0.201781076276883,0.605844376486578,65.4311926605505,0.201781076276883,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"44",44,1,108,0,1,108,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"45",45,0.504668304668305,55.5135135135135,0.46414955879662,0.504668304668305,55.5135135135135,0.46414955879662,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"46",46,0.912427022518766,99.4545454545455,0.00364962283888514,0.912427022518766,99.4545454545455,0.00364962283888514,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"47",47,0.504926945293918,54.5321100917431,0.462859954460564,0.504926945293918,54.5321100917431,0.462859954460564,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"48",48,0.910868812737972,97.462962962963,0.00379289357020064,0.910868812737972,97.462962962963,0.00379289357020064,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"49",49,0.430852871219844,46.5321100917431,0.449885994984526,0.748508098891731,50.8985507246377,0.0499394201981102,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"50",50,0.498081734778982,54.2909090909091,0.489339848518359,0.498081734778982,54.2909090909091,0.489339848518359,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"51",51,0.608173477898249,66.2909090909091,0.197909987244718,0.608173477898249,66.2909090909091,0.197909987244718,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"52",52,1,108,0,1,108,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"53",53,0.730206312819609,77.4018691588785,0.063527382771084,0.730206312819609,77.4018691588785,0.063527382771084,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"54",54,1,110,0,1,110,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"55",55,0.784517721742197,83.1588785046729,0.0344493152105066,0.784517721742197,83.1588785046729,0.0344493152105066,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"56",56,0.758566978193146,81.1666666666667,0.0467645902757573,0.758566978193146,81.1666666666667,0.0467645902757573,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"57",57,1,107,0,1,107,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"58",58,0.515076706048316,54.5981308411215,0.287603221709279,0.565132983886624,57.078431372549,0.282712099864986,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"59",59,1,107,0,1,107,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"60",60,0.505201904426027,53.5514018691589,0.461500507113292,0.505201904426027,53.5514018691589,0.461500507113292,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"61",61,0.569388114970905,60.3551401869159,0.273559884911831,0.569388114970905,60.3551401869159,0.273559884911831,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"62",62,1,106,0,1,106,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"63",63,1,105,0,1,105,0,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"64",64,0.860342091341915,91.196261682243,0.0114118923280549,0.860342091341915,91.196261682243,0.0114118923280549,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
"65",65,0.506403599861544,54.1851851851852,0.457207378727687,0.506403599861544,54.1851851851852,0.457207378727687,"2014-06-11",32,"Endelig vedtagelse",2014-06-11,"Endelig vedtagelse"
