"afstemningid","yes_n","no_n","neither_n","absent_n","dato","beskrivelse","periode","gd","mean_degree","modularity","gd_no_neither","mean_degree_no_neither","modularity_no_neither","dag"
"1",1,108,0,0,71,2014-09-09,"Udvalgsindstilling",32,1,107,0,1,107,0,2014-09-09
"2",2,98,10,0,71,2014-09-09,"Endelig vedtagelse",32,0.830391138802354,88.8518518518518,0.0185818879305865,0.830391138802354,88.8518518518518,0.0185818879305865,2014-09-09
"3",3,59,54,0,66,2012-10-04,"Forslag til vedtagelse",31,0.33186868369845,59.072625698324,0.657406247034017,0.496523388116308,55.6106194690265,0.496029239384597,2012-10-04
"4",4,72,10,26,71,2012-11-06,"Endelig vedtagelse",31,0.437392500859993,66.483660130719,0.508632952462629,0.78319783197832,63.4390243902439,0.0340034242885023,2012-11-06
"5",5,98,10,0,71,2014-09-09,"Endelig vedtagelse",32,0.830391138802354,88.8518518518518,0.0185818879305865,0.830391138802354,88.8518518518518,0.0185818879305865,2014-09-09
"6",6,104,0,0,75,2014-08-27,"Endelig vedtagelse",32,1,103,0,1,103,0,2014-08-27
"7",7,4,57,45,73,2014-06-11,"Endelig vedtagelse",32,0.465768194070081,48.9056603773585,0.474976423182442,0.875409836065574,52.5245901639344,0.00746258188500323,2014-06-11
"8",8,16,77,13,73,2014-06-11,"Endelig vedtagelse",32,0.56136567834681,58.9433962264151,0.12064459858909,0.712014960261805,65.505376344086,0.0756877797173478,2014-06-11
"9",9,59,33,13,74,2014-06-11,"Endelig vedtagelse",32,0.424358974358974,44.1333333333333,0.40162138732146,0.534878165312948,48.6739130434783,0.360417392678134,2014-06-11
"10",10,70,33,5,71,2014-06-11,"Endelig vedtagelse",32,0.511076497057805,54.6851851851852,0.299201544366654,0.560251284980011,57.1456310679612,0.294442522088904,2014-06-11
"11",11,102,5,3,69,2014-06-11,"Endelig vedtagelse",32,0.86138448707256,93.8909090909091,0.00502443178988654,0.910068770939869,96.4672897196262,0.00386770932381133,2014-06-11
"12",12,26,81,0,72,2014-06-11,"Endelig vedtagelse",32,0.628636924704638,66.6355140186916,0.165706406173468,0.628636924704638,66.6355140186916,0.165706406173468,2014-06-11
"13",13,51,56,0,72,2014-06-11,"Endelig vedtagelse",32,0.496385117263269,52.6168224299065,0.495568967312261,0.496385117263269,52.6168224299065,0.495568967312261,2014-06-11
"14",14,50,57,0,72,2014-06-11,"Endelig vedtagelse",32,0.4974431317228,52.7289719626168,0.491352080241859,0.4974431317228,52.7289719626168,0.491352080241859,2014-06-11
"15",15,51,56,0,72,2014-06-11,"Endelig vedtagelse",32,0.496385117263269,52.6168224299065,0.495568967312261,0.496385117263269,52.6168224299065,0.495568967312261,2014-06-11
