"afstemningid","yes_n","no_n","neither_n","absent_n","dato","beskrivelse","periode"
"1",1,108,0,0,71,2014-09-09,"Udvalgsindstilling",32
"2",2,98,10,0,71,2014-09-09,"Endelig vedtagelse",32
"3",3,59,54,66,0,2012-10-04,"Forslag til vedtagelse",31
"4",4,72,10,71,26,2012-11-06,"Endelig vedtagelse",31
"5",5,98,10,0,71,2014-09-09,"Endelig vedtagelse",32
"6",6,104,0,0,75,2014-08-27,"Endelig vedtagelse",32
"7",7,4,57,45,73,2014-06-11,"Endelig vedtagelse",32
"8",8,16,77,13,73,2014-06-11,"Endelig vedtagelse",32
"9",9,59,33,13,74,2014-06-11,"Endelig vedtagelse",32
"10",10,70,33,5,71,2014-06-11,"Endelig vedtagelse",32
"11",11,102,5,3,69,2014-06-11,"Endelig vedtagelse",32
"12",12,26,81,0,72,2014-06-11,"Endelig vedtagelse",32
"13",13,51,56,0,72,2014-06-11,"Endelig vedtagelse",32
"14",14,50,57,0,72,2014-06-11,"Endelig vedtagelse",32
"15",15,51,56,0,72,2014-06-11,"Endelig vedtagelse",32
"16",16,13,94,0,72,2014-06-11,"Endelig vedtagelse",32
"17",17,8,99,0,72,2014-06-11,"Endelig vedtagelse",32
"18",18,50,57,0,72,2014-06-11,"Endelig vedtagelse",32
"19",19,13,94,0,72,2014-06-11,"Endelig vedtagelse",32
"20",20,51,56,0,72,2014-06-11,"Endelig vedtagelse",32
"21",21,28,77,0,74,2014-06-11,"Endelig vedtagelse",32
"22",22,46,62,0,71,2014-06-11,"Endelig vedtagelse",32
"23",23,46,61,0,72,2014-06-11,"Endelig vedtagelse",32
"24",24,14,94,0,71,2014-06-11,"Endelig vedtagelse",32
"25",25,13,93,0,73,2014-06-11,"Endelig vedtagelse",32
"26",26,13,95,0,71,2014-06-11,"Endelig vedtagelse",32
"27",27,18,88,0,73,2014-06-11,"Endelig vedtagelse",32
"28",28,108,0,0,71,2014-06-11,"Endelig vedtagelse",32
"29",29,107,0,0,72,2014-06-11,"Endelig vedtagelse",32
"30",30,15,91,0,73,2014-06-11,"Endelig vedtagelse",32
"31",31,87,21,0,71,2014-06-11,"Endelig vedtagelse",32
"32",32,93,13,0,73,2014-06-11,"Endelig vedtagelse",32
"33",33,100,8,0,71,2014-06-11,"Endelig vedtagelse",32
"34",34,63,44,0,72,2014-06-11,"Endelig vedtagelse",32
"35",35,74,34,0,71,2014-06-11,"Endelig vedtagelse",32
"36",36,95,13,0,71,2014-06-11,"Endelig vedtagelse",32
"37",37,95,13,0,71,2014-06-11,"Endelig vedtagelse",32
"38",38,7,100,0,72,2014-06-11,"Endelig vedtagelse",32
"39",39,59,52,0,68,2014-06-11,"Endelig vedtagelse",32
"40",40,107,0,0,72,2014-06-11,"Endelig vedtagelse",32
"41",41,110,0,0,69,2014-06-11,"Endelig vedtagelse",32
"42",42,74,34,0,71,2014-06-11,"Endelig vedtagelse",32
"43",43,80,29,0,70,2014-06-11,"Endelig vedtagelse",32
"44",44,109,0,0,70,2014-06-11,"Endelig vedtagelse",32
"45",45,63,48,0,68,2014-06-11,"Endelig vedtagelse",32
"46",46,105,5,0,69,2014-06-11,"Endelig vedtagelse",32
"47",47,62,47,0,70,2014-06-11,"Endelig vedtagelse",32
"48",48,103,5,0,71,2014-06-11,"Endelig vedtagelse",32
"49",49,10,59,40,70,2014-06-11,"Endelig vedtagelse",32
"50",50,51,59,0,69,2014-06-11,"Endelig vedtagelse",32
"51",51,29,81,0,69,2014-06-11,"Endelig vedtagelse",32
"52",52,109,0,0,70,2014-06-11,"Endelig vedtagelse",32
"53",53,17,90,0,72,2014-06-11,"Endelig vedtagelse",32
"54",54,111,0,0,68,2014-06-11,"Endelig vedtagelse",32
"55",55,13,94,0,72,2014-06-11,"Endelig vedtagelse",32
"56",56,93,15,0,71,2014-06-11,"Endelig vedtagelse",32
"57",57,108,0,0,71,2014-06-11,"Endelig vedtagelse",32
"58",58,70,32,5,72,2014-06-11,"Endelig vedtagelse",32
"59",59,108,0,0,71,2014-06-11,"Endelig vedtagelse",32
"60",60,61,46,0,72,2014-06-11,"Endelig vedtagelse",32
"61",61,74,33,0,72,2014-06-11,"Endelig vedtagelse",32
"62",62,107,0,0,72,2014-06-11,"Endelig vedtagelse",32
"63",63,106,0,0,73,2014-06-11,"Endelig vedtagelse",32
"64",64,99,8,0,72,2014-06-11,"Endelig vedtagelse",32
"65",65,46,62,0,71,2014-06-11,"Endelig vedtagelse",32
"66",66,49,57,0,73,2014-06-11,"Endelig vedtagelse",32
"67",67,16,90,0,73,2014-06-11,"Endelig vedtagelse",32
"68",68,16,91,0,72,2014-06-11,"Endelig vedtagelse",32
"69",69,108,0,0,71,2014-06-11,"Endelig vedtagelse",32
"70",70,18,89,0,72,2014-06-11,"Endelig vedtagelse",32
"71",71,50,58,0,71,2014-06-11,"Endelig vedtagelse",32
"72",72,102,7,0,70,2014-06-11,"Endelig vedtagelse",32
"73",73,108,0,0,71,2014-06-11,"Endelig vedtagelse",32
"74",74,109,0,0,70,2014-06-11,"Endelig vedtagelse",32
"75",75,13,97,0,69,2014-06-11,"Endelig vedtagelse",32
"76",76,13,96,0,70,2014-06-11,"Endelig vedtagelse",32
"77",77,13,95,0,71,2014-06-11,"Endelig vedtagelse",32
"78",78,13,95,0,71,2014-06-11,"Endelig vedtagelse",32
"79",79,13,94,0,72,2014-06-11,"Endelig vedtagelse",32
"80",80,8,98,0,73,2014-06-04,"Endelig vedtagelse",32
"81",81,8,96,0,75,2014-06-04,"Endelig vedtagelse",32
"82",82,15,90,0,74,2014-06-04,"Endelig vedtagelse",32
"83",83,13,91,0,75,2014-06-04,"Endelig vedtagelse",32
"84",84,13,90,0,76,2014-06-04,"Endelig vedtagelse",32
"85",85,13,90,0,76,2014-06-04,"Endelig vedtagelse",32
"86",86,8,91,5,75,2014-06-04,"Endelig vedtagelse",32
"87",87,8,91,5,75,2014-06-04,"Endelig vedtagelse",32
"88",88,13,91,0,75,2014-06-04,"Endelig vedtagelse",32
"89",89,58,53,0,68,2014-06-10,"Forslag til vedtagelse",32
"90",90,92,5,13,69,2014-06-11,"Forslag til vedtagelse",32
"91",91,93,17,0,69,2014-06-11,"Forslag til vedtagelse",32
"92",92,98,8,0,73,2014-06-11,"Endelig vedtagelse",32
"93",93,21,85,0,73,2014-06-03,"Endelig vedtagelse",32
"94",94,8,99,0,72,2014-06-04,"Endelig vedtagelse",32
"95",95,8,95,0,76,2014-06-04,"Endelig vedtagelse",32
"96",96,8,96,0,75,2014-06-04,"Endelig vedtagelse",32
"97",97,8,98,0,73,2014-06-04,"Endelig vedtagelse",32
"98",98,8,99,0,72,2014-06-04,"Endelig vedtagelse",32
"99",99,8,99,0,72,2014-06-04,"Endelig vedtagelse",32
"100",100,8,98,0,73,2014-06-04,"Endelig vedtagelse",32
"101",101,8,97,0,74,2014-06-04,"Endelig vedtagelse",32
"102",102,97,8,0,74,2014-06-04,"Endelig vedtagelse",32
"103",103,51,56,0,72,2014-06-04,"Endelig vedtagelse",32
"104",104,13,89,5,72,2014-06-04,"Endelig vedtagelse",32
"105",105,13,94,0,72,2014-06-04,"Endelig vedtagelse",32
"106",106,25,81,0,73,2014-06-04,"Endelig vedtagelse",32
"107",107,34,73,0,72,2014-06-04,"Endelig vedtagelse",32
"108",108,32,73,0,74,2014-06-04,"Endelig vedtagelse",32
"109",109,34,72,0,73,2014-06-04,"Endelig vedtagelse",32
"110",110,8,97,0,74,2014-06-04,"Endelig vedtagelse",32
"111",111,8,97,0,74,2014-06-04,"Endelig vedtagelse",32
"112",112,8,97,0,74,2014-06-04,"Endelig vedtagelse",32
"113",113,8,99,0,72,2014-06-04,"Endelig vedtagelse",32
"114",114,25,81,0,73,2014-06-04,"Endelig vedtagelse",32
"115",115,107,0,0,72,2014-06-03,"Endelig vedtagelse",32
"116",116,98,5,0,76,2014-06-03,"Endelig vedtagelse",32
"117",117,108,0,0,71,2014-06-03,"Endelig vedtagelse",32
"118",118,109,0,0,70,2014-06-03,"Endelig vedtagelse",32
"119",119,106,0,0,73,2014-06-03,"Endelig vedtagelse",32
"120",120,58,49,0,72,2014-06-03,"Endelig vedtagelse",32
"121",121,107,0,0,72,2014-06-03,"Endelig vedtagelse",32
"122",122,108,0,0,71,2014-06-03,"Endelig vedtagelse",32
"123",123,51,58,0,70,2014-06-03,"Endelig vedtagelse",32
"124",124,13,63,33,70,2014-06-03,"Endelig vedtagelse",32
"125",125,5,103,0,71,2014-06-03,"Endelig vedtagelse",32
"126",126,48,57,0,74,2014-06-03,"Endelig vedtagelse",32
"127",127,51,58,0,70,2014-06-03,"Endelig vedtagelse",32
"128",128,30,78,0,71,2014-06-03,"Endelig vedtagelse",32
"129",129,26,80,0,73,2014-06-03,"Endelig vedtagelse",32
"130",130,30,77,0,72,2014-06-03,"Endelig vedtagelse",32
"131",131,103,0,0,76,2014-06-04,"Forslag til vedtagelse",32
"132",132,107,0,0,72,2014-06-04,"Forslag til vedtagelse",32
"133",133,21,87,0,71,2014-05-20,"Endelig vedtagelse",32
"134",134,23,85,0,71,2014-05-20,"Endelig vedtagelse",32
"135",135,22,85,0,72,2014-05-20,"Endelig vedtagelse",32
"136",136,22,85,0,72,2014-05-20,"Endelig vedtagelse",32
"137",137,60,46,5,68,2014-05-27,"Forslag til vedtagelse",32
"138",138,107,0,0,72,2014-05-27,"Endelig vedtagelse",32
"139",139,107,0,0,72,2014-05-27,"Endelig vedtagelse",32
"140",140,99,8,0,72,2014-05-27,"Endelig vedtagelse",32
"141",141,70,39,0,70,2014-05-27,"Endelig vedtagelse",32
"142",142,59,5,46,69,2014-05-27,"Endelig vedtagelse",32
"143",143,8,86,13,72,2014-05-27,"Endelig vedtagelse",32
"144",144,104,5,0,70,2014-05-27,"Endelig vedtagelse",32
"145",145,52,57,0,70,2014-05-27,"Endelig vedtagelse",32
"146",146,5,103,0,71,2014-05-27,"Endelig vedtagelse",32
"147",147,60,50,0,69,2014-06-03,"Forslag til vedtagelse",32
"148",148,62,47,0,70,2014-06-03,"Forslag til vedtagelse",32
"149",149,92,18,0,69,2014-06-03,"Forslag til vedtagelse",32
"150",150,103,7,0,69,2014-06-03,"Endelig vedtagelse",32
"151",151,108,0,0,71,2014-06-03,"Endelig vedtagelse",32
"152",152,106,0,0,73,2014-06-03,"Endelig vedtagelse",32
"153",153,109,0,0,70,2014-06-03,"Endelig vedtagelse",32
"154",154,110,0,0,69,2014-06-03,"Endelig vedtagelse",32
"155",155,83,26,0,70,2014-05-20,"Endelig vedtagelse",32
"156",156,28,79,0,72,2014-05-20,"Endelig vedtagelse",32
"157",157,51,56,0,72,2014-05-20,"Endelig vedtagelse",32
"158",158,16,92,0,71,2014-05-20,"Endelig vedtagelse",32
"159",159,33,73,0,73,2014-05-20,"Endelig vedtagelse",32
"160",160,107,0,0,72,2014-05-20,"Endelig vedtagelse",32
"161",161,101,5,0,73,2014-05-20,"Endelig vedtagelse",32
"162",162,90,18,0,71,2014-05-20,"Endelig vedtagelse",32
"163",163,56,51,0,72,2014-05-20,"Endelig vedtagelse",32
"164",164,80,27,0,72,2014-05-20,"Endelig vedtagelse",32
"165",165,57,50,0,72,2014-05-20,"Endelig vedtagelse",32
"166",166,78,31,0,70,2014-05-20,"Endelig vedtagelse",32
"167",167,108,0,0,71,2014-05-20,"Endelig vedtagelse",32
"168",168,13,58,38,70,2014-05-20,"Endelig vedtagelse",32
"169",169,106,0,0,73,2014-05-15,"Endelig vedtagelse",32
"170",170,106,0,0,73,2014-05-15,"Endelig vedtagelse",32
"171",171,18,87,0,74,2014-05-15,"Endelig vedtagelse",32
"172",172,18,87,0,74,2014-05-15,"Endelig vedtagelse",32
"173",173,18,85,0,76,2014-05-15,"Endelig vedtagelse",32
"174",174,83,27,0,69,2014-05-20,"Forslag til vedtagelse",32
"175",175,107,0,0,72,2014-05-20,"Endelig vedtagelse",32
"176",176,92,13,0,74,2014-05-20,"Endelig vedtagelse",32
"177",177,99,7,1,72,2014-05-20,"Endelig vedtagelse",32
"178",178,100,7,0,72,2014-05-20,"Endelig vedtagelse",32
"179",179,90,21,0,68,2014-04-29,"Endelig vedtagelse",32
"180",180,94,13,0,72,2014-04-29,"Endelig vedtagelse",32
"181",181,109,0,0,70,2014-05-06,"Forslag til vedtagelse",32
"182",182,51,59,0,69,2014-05-06,"Endelig vedtagelse",32
"183",183,53,59,0,67,2014-05-06,"Endelig vedtagelse",32
"184",184,13,98,0,68,2014-05-06,"Endelig vedtagelse",32
"185",185,58,49,0,72,2014-05-08,"Endelig vedtagelse",32
"186",186,106,0,0,73,2014-05-13,"Endelig vedtagelse",32
"187",187,13,90,0,76,2014-05-13,"Endelig vedtagelse",32
"188",188,106,0,0,73,2014-05-13,"Endelig vedtagelse",32
"189",189,91,0,13,75,2014-05-13,"Endelig vedtagelse",32
"190",190,49,57,0,73,2014-05-13,"Endelig vedtagelse",32
"191",191,48,57,0,74,2014-05-13,"Endelig vedtagelse",32
"192",192,9,94,0,76,2014-05-13,"Endelig vedtagelse",32
"193",193,79,26,0,74,2014-05-15,"Forslag til vedtagelse",32
"194",194,95,10,0,74,2014-05-15,"Forslag til vedtagelse",32
"195",195,98,8,0,73,2014-05-15,"Forslag til vedtagelse",32
"196",196,104,0,0,75,2014-05-15,"Endelig vedtagelse",32
"197",197,110,0,0,69,2014-04-29,"Forslag til vedtagelse",32
"198",198,112,0,0,67,2014-04-22,"Endelig vedtagelse",32
"199",199,99,13,1,66,2014-04-22,"Endelig vedtagelse",32
"200",200,106,5,0,68,2014-04-22,"Endelig vedtagelse",32
"201",201,99,12,0,68,2014-04-22,"Endelig vedtagelse",32
"202",202,104,0,0,75,2014-04-24,"Endelig vedtagelse",32
"203",203,97,7,0,75,2014-04-03,"Endelig vedtagelse",32
"204",204,85,18,0,76,2014-04-03,"Endelig vedtagelse",32
"205",205,72,35,0,72,2014-04-08,"Endelig vedtagelse",32
"206",206,55,51,0,73,2014-04-08,"Endelig vedtagelse",32
"207",207,103,0,0,76,2014-04-10,"Endelig vedtagelse",32
"208",208,104,0,0,75,2014-04-10,"Endelig vedtagelse",32
"209",209,105,0,0,74,2014-04-10,"Endelig vedtagelse",32
"210",210,97,8,0,74,2014-04-10,"Endelig vedtagelse",32
"211",211,78,27,0,74,2014-04-10,"Endelig vedtagelse",32
"212",212,102,0,0,77,2014-04-10,"Endelig vedtagelse",32
"213",213,66,35,0,78,2014-04-10,"Endelig vedtagelse",32
"214",214,94,8,0,77,2014-04-10,"Endelig vedtagelse",32
"215",215,113,0,0,66,2014-04-22,"Forslag til vedtagelse",32
"216",216,9,104,0,66,2014-04-22,"Forslag til vedtagelse",32
"217",217,55,53,0,71,2014-03-18,"Endelig vedtagelse",32
"218",218,107,0,0,72,2014-03-18,"Endelig vedtagelse",32
"219",219,7,101,0,71,2014-03-18,"Endelig vedtagelse",32
"220",220,53,56,0,70,2014-03-18,"Endelig vedtagelse",32
"221",221,52,55,0,72,2014-03-18,"Endelig vedtagelse",32
"222",222,52,56,0,71,2014-03-18,"Endelig vedtagelse",32
"223",223,25,81,0,73,2014-03-18,"Endelig vedtagelse",32
"224",224,58,53,0,68,2014-03-25,"Forslag til vedtagelse",32
"225",225,110,0,0,69,2014-03-25,"Endelig vedtagelse",32
"226",226,109,0,0,70,2014-03-25,"Endelig vedtagelse",32
"227",227,109,0,0,70,2014-03-25,"Endelig vedtagelse",32
"228",228,110,0,0,69,2014-03-25,"Endelig vedtagelse",32
"229",229,56,53,0,70,2014-03-25,"Endelig vedtagelse",32
"230",230,110,0,0,69,2014-03-25,"Endelig vedtagelse",32
"231",231,111,0,0,68,2014-03-25,"Endelig vedtagelse",32
"232",232,111,0,0,68,2014-03-25,"Endelig vedtagelse",32
"233",233,111,0,0,68,2014-03-25,"Endelig vedtagelse",32
"234",234,106,5,0,68,2014-03-25,"Endelig vedtagelse",32
"235",235,28,83,0,68,2014-03-25,"Endelig vedtagelse",32
"236",236,54,56,0,69,2014-03-25,"Endelig vedtagelse",32
"237",237,112,0,0,67,2014-04-01,"Endelig vedtagelse",32
"238",238,90,18,0,71,2014-04-01,"Endelig vedtagelse",32
"239",239,55,50,0,74,2014-04-03,"Forslag til vedtagelse",32
"240",240,104,0,0,75,2014-04-03,"Endelig vedtagelse",32
"241",241,49,57,0,73,2014-03-13,"Endelig vedtagelse",32
"242",242,9,96,0,74,2014-03-13,"Endelig vedtagelse",32
"243",243,49,60,70,0,2014-03-18,"Forslag til vedtagelse",32
"244",244,7,102,70,0,2014-03-18,"Forslag til vedtagelse",32
"245",245,40,69,70,0,2014-03-18,"Forslag til vedtagelse",32
"246",246,18,89,72,0,2014-03-18,"Forslag til vedtagelse",32
"247",247,61,47,0,71,2014-03-18,"Endelig vedtagelse",32
"248",248,69,39,0,71,2014-03-18,"Endelig vedtagelse",32
"249",249,102,0,7,70,2014-03-18,"Endelig vedtagelse",32
"250",250,96,13,0,70,2014-03-18,"Endelig vedtagelse",32
"251",251,40,68,0,71,2014-02-25,"Endelig vedtagelse",32
"252",252,8,100,0,71,2014-02-25,"Endelig vedtagelse",32
"253",253,13,88,8,70,2014-02-25,"Endelig vedtagelse",32
"254",254,58,49,4,68,2014-03-11,"Forslag til vedtagelse",32
"255",255,98,5,8,68,2014-03-11,"Endelig vedtagelse",32
"256",256,105,6,0,68,2014-03-11,"Endelig vedtagelse",32
"257",257,58,49,0,72,2014-03-13,"Forslag til vedtagelse",32
"258",258,106,0,0,73,2014-03-13,"Endelig vedtagelse",32
"259",259,98,8,0,73,2014-03-13,"Endelig vedtagelse",32
"260",260,49,56,0,74,2014-03-13,"Endelig vedtagelse",32
"261",261,94,8,5,72,2014-02-04,"Forslag til vedtagelse",32
"262",262,14,94,0,71,2014-02-04,"Endelig vedtagelse",32
